611f784,Aaron Diamond-Reivich,3 days ago,Added headers to Marketplace results
385a95e,terrencejo,3 days ago,Merge pull request #1 from cis-upenn/balance_view
e2edcd5,terrencejo,3 days ago,Merge branch 'master' into balance_view
05089ea,Terrence Jo,3 days ago,finished balance view, fixed register bugs
86a089f,Aaron Diamond-Reivich,3 days ago,fixed scrolling on marketplace
f567b03,Aaron Diamond-Reivich,3 days ago,fixed writing to session bug. Added newline character
d95b7f2,Chris,3 days ago,Changing the bottom navigation to include what we need
2834389,Petra Robertson,3 days ago,added dummy value for "price" for students
aea62a7,Petra Robertson,3 days ago,added login/signup error message and user availability
ad27998,Terrence Jo,3 days ago,finished balance and find current user
5f73e03,Terrence Jo,4 days ago,find user function and textviews in profile page
e2103a2,Petra Robertson,3 days ago,Merge branch 'master' of https://github.com/cis-upenn/350S19-27 into sign_up
5b34e5b,Petra Robertson,3 days ago,added availability at student sign in
d8606ce,Aaron Diamond-Reivich,3 days ago,fixed merge conflicts
f7187d0,Aaron Diamond-Reivich,3 days ago,fixed merge conflicts
395a12d,Aaron Diamond-Reivich,3 days ago,fixed dependancy issues
3a60c7f,Aaron Diamond-Reivich,3 days ago,fix merge conflicts
819c68f,Aaron Diamond-Reivich,3 days ago,committing broken code
74903a5,Aaron Diamond-Reivich,4 days ago,Created marketplaceListFragment from marketplace_activity
18d6fd7,Aaron Diamond-Reivich,4 days ago,implemented searching + filtering from Database
93d8be3,Petra Robertson,4 days ago,adding error message to login
1b84fd6,Aaron Diamond-Reivich,4 days ago,fixed Search Button connectivity with Java
663beaf,Petra Robertson,4 days ago,updating sign up page
0aa7fba,Aaron Diamond-Reivich,4 days ago,updated function name before Terry uses it
dc0f8bd,Petra Robertson,4 days ago,added pricing info for tutors
3efebcc,Petra Robertson,4 days ago,added sign up for students, tutors, or both
1e62444,Petra Robertson,5 days ago,Merge branch 'master' of https://github.com/cis-upenn/350S19-27 into sign_up
227bb10,Petra Robertson,5 days ago,updating sign up activity
aa46f1c,Aaron Diamond-Reivich,5 days ago,refactored to abstract reading/writing sessions from marketplace
ee20ebf,Aaron Diamond-Reivich,5 days ago,added Session read/write methods
087ebd1,Aaron Diamond-Reivich,5 days ago,created session object
b46f708,Petra Robertson,5 days ago,Merge branch 'master' of https://github.com/cis-upenn/350S19-27 into sign_up
66f8916,Petra Robertson,5 days ago,updating sign up activity
b8fb648,Chris,5 days ago,Making sure that the file will be created when we attempt to read
ec92e38,Petra Robertson,5 days ago,updating login page, added sign up page, updated android manifest
c6a02eb,Chris,5 days ago,Fixing merge conflict
80790dc,Chris,5 days ago,Fixed an issue where switching fragments would prevent the correct list from showing because the adapter was being created as a variable
1a1d499,Aaron Diamond-Reivich,5 days ago,created marketplace fragment + interaction between button and toast
335e2e1,Chris,5 days ago,Finished the reading and writting to a file
bed4a5c,Chris,5 days ago,Making a file writer for complaints. Should work properly
a2025f3,Aaron Diamond-Reivich,5 days ago,fixed merge conflicts
7895642,Aaron Diamond-Reivich,5 days ago,started DataManagement
e95fea3,Chris,5 days ago,Fixed a bug that was not displaying the previously added cokmplaints when a new one was added
b9d1930,Chris,5 days ago,Small changes to when it loads the complaints, etc
079c0e5,Chris,5 days ago,Pop up to enter infomation for new complaint is added. Now just need to handle the database side of it. Also searching for who this user is.
849115a,Chris,5 days ago,Minor adjustments to spacing
8b5b81f,Chris,5 days ago,Got the list working with my own ComplaintsObject. Now just need to add submitting a complaint and actually saving them in the fake backend
9d9eea3,Chris,6 days ago,Embedded scrolling list is working at the most basic level so far. Now need it to actually portray real information
7715627,Petra Robertson,6 days ago,Merge branch 'master' of https://github.com/cis-upenn/350S19-27 into sign_up
771f3cf,Petra Robertson,6 days ago,updating login page
8944cd2,Chris,6 days ago,Redesigning the complaints page and getting ready to add a scrolling list
5626a09,Petra Robertson,6 days ago,Merge branch 'master' of https://github.com/cis-upenn/350S19-27 into sign_up
4d577c3,Petra Robertson,6 days ago,updating login page
2343596,Chris,6 days ago,Changing the functionality of buttons so that they are handled inside their respecive fragments
48deff8,Petra Robertson,6 days ago,updating login page
923108e,Chris,6 days ago,Merge branch 'master' into chris
730054b,Chris,6 days ago,Changing to the bottom navigation bar and using fragments to get everything to work properly
300a231,Aaron Diamond-Reivich,6 days ago,commit before merge
0e1efea,Aaron Diamond-Reivich,6 days ago,created sessions database
4c667a9,Aaron Diamond-Reivich,6 days ago,added search bar
20cefe1,Petra Robertson,6 days ago,Adding activity_login_page.xml
29a8ed7,Chris,8 days ago,Adding a file for DataManagement
3eb586e,Chris,8 days ago,Changing paradign to use one main activity java class to handle all the button calls. Now also removed the bottom navigation bar and replaced with a series of buttons that change the views.
f7288ab,Chris,9 days ago,Complaints button is trivially working with a Toast prompt showing that it in fact does work. Need to address how to fix the bottom navigation bar issue. I think that we may need to use fragments. Also, we probably should have one activity deal with all the pages. Less elegant, but perhaps easier?
8a5347d,Chris,9 days ago,Attempting to create a complaint page with a buttom to launch a complaint
b42a4d8,Chris,9 days ago,Trying again
8f363e0,Chris,9 days ago,Please fix the tracked files issue
3334700,Chris,9 days ago,Adding a complaints page
f127562,Chris,9 days ago,fixed untracked files
3173698,Chris,9 days ago,Finally done the ignore problems?
0fbc9fb,Chris,9 days ago,Tryign to fix untracked files issue
790d284,Chris,9 days ago,Fixed untracked files, hopefully
867e528,Chris,9 days ago,adding a proper .gitignore for Andoir studio
ee56cde,Chris,9 days ago,Created a separate activity for Profile Page. Audio glitch, also problem with the wrong page being highlighted. Not sure exactly how to fix. Good starting point, however
6b59036,Chris,10 days ago,Project runs on emulator with Lolipop version OS
b716c05,Chris,10 days ago,creating new branch and adding the basic project
